annotation	node
a00000813	18668
a00000814	18669
a00000000	18670
a00000001	18671
a00002350	18672
a00002351	18673
a00002352	18674
a00002353	18675
a00002354	18676
a00002355	18677
a00002356	18678
a00002357	18679
a00002358	18680
a00002359	18681
a00002360	18682
a00002361	18683
a00002362	18684
a00002363	18685
a00002364	18686
a00002365	18687
a00002366	18688
a00002367	18689
a00002368	18690
a00002369	18691
a00002370	18692
a00002371	18693
a00002372	18694
a00002373	18695
a00002374	18696
a00002375	18697
a00002376	18698
a00002377	18699
a00002378	18700
a00002379	18701
a00002380	18702
a00002381	18703
a00002382	18704
a00002383	18705
a00002384	18706
a00002385	18707
a00002386	18708
a00002387	18709
a00002388	18710
a00002389	18711
a00002390	18712
a00002391	18713
a00002392	18714
a00002393	18715
a00002394	18716
a00002395	18717
a00002396	18718
a00002397	18719
a00002398	18720
a00002399	18721
a00002400	18722
a00002401	18723
a00002402	18724
a00002403	18725
a00002404	18726
a00002405	18727
a00002406	18728
a00002407	18729
a00002408	18730
a00002409	18731
a00002410	18732
a00002411	18733
a00002412	18734
a00002413	18735
a00002414	18736
a00002415	18737
a00002416	18738
a00002417	18739
a00002418	18740
a00002419	18741
a00002420	18742
a00002421	18743
a00002422	18744
a00001633	18745
a00001634	18746
a00001635	18747
a00001636	18748
a00001637	18749
a00001638	18750
a00001639	18751
a00001640	18752
a00001641	18753
a00001642	18754
a00001643	18755
a00001644	18756
a00001645	18757
a00001646	18758
a00001722	18759
a00001723	18760
a00001724	18761
a00001725	18762
a00001726	18763
a00001727	18764
a00001728	18765
a00001729	18766
a00001730	18767
a00001731	18768
a00001732	18769
a00001733	18770
a00001734	18771
a00001735	18772
a00001736	18773
a00001737	18774
a00001738	18775
a00001739	18776
a00001740	18777
a00001741	18778
a00001742	18779
a00001743	18780
a00001744	18781
a00001745	18782
a00001746	18783
a00001747	18784
a00001748	18785
a00001749	18786
a00001750	18787
a00001751	18788
a00001752	18789
a00001753	18790
a00001754	18791
a00001755	18792
a00001756	18793
a00001757	18794
a00001758	18795
a00001759	18796
a00001760	18797
a00001761	18798
a00001762	18799
a00001763	18800
a00001764	18801
a00001765	18802
a00001766	18803
a00001767	18804
a00001768	18805
a00001769	18806
a00001770	18807
a00001771	18808
a00001772	18809
a00001773	18810
a00001774	18811
a00001775	18812
a00001776	18813
a00001777	18814
a00001778	18815
a00001779	18816
a00001780	18817
a00001781	18818
a00001782	18819
a00001783	18820
a00001784	18821
a00001785	18822
a00001786	18823
a00002180	18824
a00002181	18825
a00002182	18826
a00002183	18827
a00002184	18828
a00002185	18829
a00002186	18830
a00002187	18831
a00002188	18832
a00002189	18833
a00002190	18834
a00002191	18835
a00002192	18836
a00002193	18837
a00002194	18838
a00002195	18839
a00002196	18840
a00002197	18841
a00002198	18842
a00002199	18843
a00002200	18844
a00002201	18845
a00002202	18846
a00002203	18847
a00002204	18848
a00002205	18849
a00002206	18850
a00002207	18851
a00002208	18852
a00002209	18853
a00002210	18854
a00002211	18855
a00002212	18856
a00002213	18857
a00002214	18858
a00002215	18859
a00002216	18860
a00002217	18861
a00002218	18862
a00002219	18863
a00002220	18864
a00002221	18865
a00001662	18866
a00001663	18867
a00001664	18868
a00001665	18869
a00001666	18870
a00001667	18871
a00001668	18872
a00001669	18873
a00001670	18874
a00001671	18875
a00001672	18876
a00001673	18877
a00001674	18878
a00001675	18879
a00002423	18880
a00002424	18881
a00002425	18882
a00002426	18883
a00002427	18884
a00002428	18885
a00000021	18886
a00000022	18887
a00000023	18888
a00000024	18889
a00000025	18890
a00000026	18891
a00000027	18892
a00000028	18893
a00000029	18894
a00000030	18895
a00000031	18896
a00000032	18897
a00000033	18898
a00000034	18899
a00000163	18900
a00000164	18901
a00000165	18902
a00000166	18903
a00000167	18904
a00000168	18905
a00000169	18906
a00000170	18907
a00000171	18908
a00000172	18909
a00000173	18910
a00000174	18911
a00000175	18912
a00000176	18913
a00000177	18914
a00000178	18915
a00000179	18916
a00000180	18917
a00000181	18918
a00000182	18919
a00000183	18920
a00000184	18921
a00000185	18922
a00000186	18923
a00000187	18924
a00000188	18925
a00000189	18926
a00000190	18927
a00000191	18928
a00000192	18929
a00000193	18930
a00000194	18931
a00000195	18932
a00000196	18933
a00000197	18934
a00000198	18935
a00000199	18936
a00000200	18937
a00000201	18938
a00000202	18939
a00000203	18940
a00000204	18941
a00000205	18942
a00000206	18943
a00000207	18944
a00000208	18945
a00000209	18946
a00000210	18947
a00000211	18948
a00000212	18949
a00000003	18950
a00000004	18951
a00000068	18952
a00002429	18953
a00002430	18954
a00002431	18955
a00002432	18956
a00002433	18957
a00002434	18958
a00002435	18959
a00002436	18960
a00002437	18961
a00002438	18962
a00002439	18963
a00002440	18964
a00002441	18965
a00002442	18966
a00002443	18967
a00002444	18968
a00002445	18969
a00002446	18970
a00002447	18971
a00002448	18972
a00000940	18973
a00000941	18974
a00000942	18975
a00000943	18976
a00000944	18977
a00000945	18978
a00000946	18979
a00000947	18980
a00000948	18981
a00000949	18982
a00000950	18983
a00000951	18984
a00000952	18985
a00000953	18986
a00001200	18987
a00001201	18988
a00001202	18989
a00001203	18990
a00001204	18991
a00001205	18992
a00001206	18993
a00001207	18994
a00001208	18995
a00001209	18996
a00001210	18997
a00001211	18998
a00001212	18999
a00001213	19000
a00001787	19001
a00001788	19002
a00001789	19003
a00001790	19004
a00001791	19005
a00001792	19006
a00001793	19007
a00001794	19008
a00001795	19009
a00001796	19010
a00001797	19011
a00001798	19012
a00001799	19013
a00001800	19014
a00001801	19015
a00001802	19016
a00001803	19017
a00001804	19018
a00001805	19019
a00001806	19020
a00001807	19021
a00001808	19022
a00001809	19023
a00001810	19024
a00001811	19025
a00001812	19026
a00001813	19027
a00001814	19028
a00000676	19029
a00000677	19030
a00000678	19031
a00000679	19032
a00000680	19033
a00000681	19034
a00000682	19035
a00000683	19036
a00000684	19037
a00000685	19038
a00000686	19039
a00000687	19040
a00000688	19041
a00000689	19042
a00000690	19043
a00000691	19044
a00000692	19045
a00000693	19046
a00000694	19047
a00000695	19048
a00000696	19049
a00000697	19050
a00000698	19051
a00000699	19052
a00000700	19053
a00000701	19054
a00000702	19055
a00000703	19056
a00000704	19057
a00000705	19058
a00000706	19059
a00000707	19060
a00000708	19061
a00000709	19062
a00000710	19063
a00000711	19064
a00000712	19065
a00000713	19066
a00000714	19067
a00000715	19068
a00000716	19069
a00000717	19070
a00000718	19071
a00000719	19072
a00000720	19073
a00000721	19074
a00000722	19075
a00000723	19076
a00000724	19077
a00000725	19078
