superEntry	complex	pure
supplied	-----	pure
support	complex	mixed
supportDesc	complex	pure
surface	-----	pure
surfaceGrp	-----	pure
surname	complex	mixed
surplus	complex	mixed
surrogates	complex	mixed
syll	complex	mixed
symbol	complex	pure
table	-----	pure
tag	complex	mixed
tagUsage	complex	mixed
tagsDecl	complex	pure
taxonomy	complex	pure
tech	complex	mixed
teiCorpus	complex	pure
teiHeader	-----	pure
term	-----	pure
terrain	complex	pure
text	-----	pure
textClass	complex	pure
textDesc	complex	pure
textLang	-----	pure
textNode	complex	pure
then	complex	pure
time	complex	mixed
timeline	complex	pure
title	-----	pure
titlePage	complex	pure
titlePart	complex	mixed
titleStmt	-----	pure
tns	complex	mixed
trailer	-----	pure
trait	complex	pure
transcriptionDesc	complex	pure
transpose	-----	pure
tree	complex	pure
triangle	complex	pure
typeDesc	complex	pure
typeNote	complex	mixed
u	complex	mixed
unclear	-----	pure
undo	complex	pure
unicodeProp	-----	pure
unihanProp	-----	pure
unit	-----	pure
unitDecl	-----	pure
unitDef	-----	pure
usg	complex	mixed
vAlt	complex	pure
vColl	complex	pure
vDefault	complex	pure
vLabel	complex	pure
vMerge	complex	pure
vNot	complex	pure
vRange	complex	pure
val	complex	mixed
valDesc	complex	mixed
valItem	complex	pure
valList	complex	pure
variantEncoding	complex	pure
view	complex	mixed
vocal	complex	pure
w	complex	mixed
watermark	complex	mixed
when	complex	pure
width	complex	mixed
wit	complex	mixed
witDetail	complex	mixed
witEnd	complex	pure
witStart	complex	pure
witness	complex	mixed
writing	complex	mixed
xenoData	complex	mixed
xr	complex	mixed
zone	-----	pure
