teiCorpus	complex	pure
teiHeader	complex	pure
term	complex	mixed
terrain	complex	pure
text	complex	pure
textClass	complex	pure
textDesc	complex	pure
textLang	complex	mixed
textNode	complex	pure
then	complex	pure
time	complex	mixed
timeline	complex	pure
title	complex	mixed
titlePage	complex	pure
titlePart	complex	mixed
titleStmt	complex	pure
tns	complex	mixed
trailer	complex	mixed
trait	complex	pure
transcriptionDesc	complex	pure
transpose	complex	pure
tree	complex	pure
triangle	complex	pure
typeDesc	complex	pure
typeNote	complex	mixed
u	complex	mixed
unclear	complex	mixed
undo	complex	pure
unicodeProp	complex	pure
unihanProp	complex	pure
unit	complex	mixed
unitDecl	complex	pure
unitDef	complex	pure
usg	complex	mixed
vAlt	complex	pure
vColl	complex	pure
vDefault	complex	pure
vLabel	complex	pure
vMerge	complex	pure
vNot	complex	pure
vRange	complex	pure
val	complex	mixed
valDesc	complex	mixed
valItem	complex	pure
valList	complex	pure
variantEncoding	complex	pure
view	complex	mixed
vocal	complex	pure
w	complex	mixed
watermark	complex	mixed
when	complex	pure
width	complex	mixed
wit	complex	mixed
witDetail	complex	mixed
witEnd	complex	pure
witStart	complex	pure
witness	complex	mixed
writing	complex	mixed
xenoData	complex	mixed
xr	complex	mixed
zone	complex	mixed
